APARTMENT_ID,APARTMENT_NAME,ZONE_CODE,DIV_CODE,AREA_NAME,LOC_NAME,STREET_NAM,BIN_NO,LATITUDE,LONGTITUDE,NUMBER_OF_HOUSES,RESIDENTS,BIN_CAPACITY_KG,WASTE_GENERATION_KG_DAY,DAYS_SINCE_COLLECTION,RAIN,TEMPERATURE_C,DAY_OF_WEEK,FILL_PERCENTAGE,FILL_LEVEL
APT_00012,Apartment_Kathivakkam_N001,N01,N001,KATHIVAKKAM,SVM NAGAR,SVM NAGAR XVIII ST,S_W001_001,13.225381,80.324899,294,1465,240,612.87,4,Yes,25.5,2,100.0,Full
APT_00013,Apartment_Kathivakkam_N001,N01,N001,KATHIVAKKAM,VOC NAGAR,V.O.C. Nagar 1st Block,S_W001_001,13.225385,80.320939,226,675,1000,221.56,0,No,24.3,0,9.7,Empty
APT_00014,Apartment_Kathivakkam_N001,N01,N001,KATHIVAKKAM,THAZHANKUPPAM,THAZHANKUPPAM CHINNAMMAN KOVIL STREET,S_W001_001,13.228492,80.328018,233,1159,240,686.14,4,No,32.0,0,100.0,Full
APT_00015,Apartment_Kathivakkam_N001,N01,N001,KATHIVAKKAM,SVM NAGAR,SVM NAGAR XI ST,S_W001_001,13.222938,80.32698,221,654,360,337.62,2,No,25.0,2,100.0,Full
APT_00016,Apartment_Kathivakkam_N001,N01,N001,KATHIVAKKAM,ULLAGANATHAPURAM,ULAGANATHAPURAM V ST,S_W001_001,13.22718,80.325801,240,717,500,415.65,0,No,34.7,0,81.1,Full
APT_00017,Apartment_Kathivakkam_N001,N01,N001,KATHIVAKKAM,SVM NAGAR,SVM NAGAR V ST,S_W001_001,13.221179,80.323779,164,324,360,122.13,4,Yes,33.5,1,100.0,Full
APT_00018,Apartment_Kathivakkam_N001,N01,N001,KATHIVAKKAM,ULLAGANATHAPURAM,ULAGANATHAPURAM MAIN ROAD,S_W001_001,13.226353,80.325209,55,228,360,147.78,2,Yes,32.7,3,93.6,Full
APT_00019,Apartment_Kathivakkam_N001,N01,N001,KATHIVAKKAM,ULLAGANATHAPURAM,ULAGANATHAPURAM MAIN ROAD,S_W001_002,13.22467,80.324432,255,773,500,303.7,2,No,34.1,6,98.6,Full
APT_00020,Apartment_Kathivakkam_N001,N01,N001,KATHIVAKKAM,JJ NAGAR,JJ NAGAR,S_W001_001,13.22482,80.320773,146,437,240,171.08,0,No,25.3,6,86.3,Full
APT_00021,Apartment_Kathivakkam_N001,N01,N001,KATHIVAKKAM,ENNORE KUPPAM,ENNORE KUPPAM 1 STREET,S_W001_001,13.227357,80.325614,160,636,1000,403.39,0,Yes,31.5,5,48.0,Medium
APT_00022,Apartment_Kathivakkam_N001,N01,N001,KATHIVAKKAM,ENNORE KUPPAM,ENNORE KUPPAM 3 STREET,S_W001_001,13.227958,80.327147,124,246,240,125.96,0,No,26.5,6,76.9,Full
APT_00023,Apartment_Kathivakkam_N001,N01,N001,KATHIVAKKAM,THAZHANKUPPAM,BEACH ROAD THALANKUPPAM,S_W001_001,13.226211,80.32367,71,144,360,89.77,1,Yes,30.2,4,38.3,Empty
APT_00024,Apartment_Kathivakkam_N001,N01,N001,KATHIVAKKAM,THAZHANKUPPAM,BEACH ROAD THALANKUPPAM,S_W001_002,13.224788,80.327847,280,1398,1000,697.96,1,No,28.3,0,92.0,Full
APT_00025,Apartment_Kathivakkam_N001,N01,N001,KATHIVAKKAM,THAZHANKUPPAM,BEACH ROAD THALANKUPPAM,S_W001_003,13.224775,80.327821,239,961,360,334.99,2,No,25.5,4,100.0,Full
APT_00026,Apartment_Kathivakkam_N001,N01,N001,KATHIVAKKAM,KAMARAJ NAGAR,KAMARAJ NAGAR III ST,S_W001_001,13.222854,80.319852,200,810,660,329.1,3,No,32.8,3,100.0,Full
APT_00027,Apartment_Kathivakkam_N001,N01,N001,KATHIVAKKAM,SVM NAGAR,SVM NAGAR III ST,S_W001_001,13.221146,80.323855,133,264,500,156.7,4,No,27.6,5,100.0,Full
APT_00028,Apartment_Kathivakkam_N001,N01,N001,KATHIVAKKAM,SVM NAGAR,SVM NAGAR XIV ST,S_W001_001,13.224071,80.324396,251,996,240,444.0,3,No,25.5,2,100.0,Full
APT_00029,Apartment_Kathivakkam_N001,N01,N001,KATHIVAKKAM,SVM NAGAR,SVM NAGAR XV ST,S_W001_001,13.224811,80.32766,173,511,660,272.67,2,No,34.6,5,78.4,Full
APT_00030,Apartment_Kathivakkam_N001,N01,N001,KATHIVAKKAM,NETTUKUPPAM,NETTUKUPPAM I MAIN ROAD,S_W001_001,13.229232,80.327865,144,584,240,184.9,4,No,25.6,4,100.0,Full
APT_00031,Apartment_Kathivakkam_N001,N01,N001,KATHIVAKKAM,NETTUKUPPAM,NETTUKUPPAM I MAIN ROAD,S_W001_003,13.229314,80.329873,146,290,660,118.87,2,Yes,26.5,5,58.1,Medium
APT_00032,Apartment_Kathivakkam_N001,N01,N001,KATHIVAKKAM,NETTUKUPPAM,NETTUKUPPAM I MAIN ROAD,S_W001_002,13.23037,80.328356,83,328,120,192.14,2,No,24.3,0,100.0,Full
APT_00033,Apartment_Kathivakkam_N001,N01,N001,KATHIVAKKAM,THAZHANKUPPAM,EXPRESS ROAD,S_W001_001,13.225618,80.327468,45,183,660,114.63,1,Yes,30.2,6,41.0,Medium
APT_00034,Apartment_Kathivakkam_N001,N01,N001,KATHIVAKKAM,THAZHANKUPPAM,EXPRESS ROAD,S_W001_001,13.226782,80.326877,175,535,120,203.15,2,No,33.9,3,100.0,Full
APT_00035,Apartment_Kathivakkam_N001,N01,N001,KATHIVAKKAM,THAZHANKUPPAM,EXPRESS ROAD,S_W001_001,13.226092,80.322538,269,536,1000,171.0,0,No,34.2,4,27.0,Empty
APT_00036,Apartment_Kathivakkam_N001,N01,N001,KATHIVAKKAM,SVM NAGAR,SVM NAGAR XII ST,S_W001_001,13.223207,80.327081,37,181,500,46.95,0,No,32.9,3,26.2,Empty
APT_00037,Apartment_Kathivakkam_N001,N01,N001,KATHIVAKKAM,THAZHANKUPPAM,THALANKUPPAM V ST,S_W001_001,13.228539,80.32798,261,1052,120,316.6,4,Yes,29.7,0,100.0,Full
APT_00038,Apartment_Kathivakkam_N002,N01,N002,KATHIVAKKAM,KH ROAD,KH ROAD,S_W002_001,13.217638,80.320039,252,999,120,583.68,0,No,34.7,3,100.0,Full
APT_00039,Apartment_Kathivakkam_N002,N01,N002,KATHIVAKKAM,KH ROAD,KH ROAD,S_W002_002,13.217128,80.320223,97,492,240,212.68,2,No,33.2,4,100.0,Full
APT_00040,Apartment_Kathivakkam_N002,N01,N002,KATHIVAKKAM,KH ROAD,KH ROAD,S_W002_003,13.216833,80.320297,197,788,1000,288.92,0,Yes,34.7,1,49.4,Medium
APT_00041,Apartment_Kathivakkam_N002,N01,N002,KATHIVAKKAM,KH ROAD,KH ROAD,S_W002_004,13.216591,80.320278,66,122,500,68.35,3,No,26.9,2,47.6,Medium
APT_00042,Apartment_Kathivakkam_N002,N01,N002,KATHIVAKKAM,RAILWAY STATION ROAD,GANDHI NAGAR,S_W002_001,13.218229,80.320113,233,693,240,393.19,4,Yes,31.2,4,100.0,Full
APT_00043,Apartment_Kathivakkam_N002,N01,N002,KATHIVAKKAM,RAILWAY STATION ROAD,GANDHI NAGAR,S_W002_002,13.218155,80.320095,216,1084,240,428.03,2,No,24.3,2,100.0,Full
APT_00044,Apartment_Kathivakkam_N002,N01,N002,KATHIVAKKAM,RAILWAY STATION ROAD,R.S. ROAD M.G.R. NAGAR,S_W002_001,13.219008,80.321245,119,362,120,221.02,0,No,30.3,2,100.0,Full
APT_00045,Apartment_Kathivakkam_N002,N01,N002,KATHIVAKKAM,ANNA NAGAR,ANNA NAGAR III ST,S_W002_001,13.207042,80.315392,39,189,240,82.26,0,No,34.5,0,38.6,Empty
APT_00046,Apartment_Kathivakkam_N002,N01,N002,KATHIVAKKAM,GRAMATHERU,GRAMATHERU,S_W002_001,13.217029,80.319576,292,587,1000,208.09,3,Yes,32.9,3,67.8,Medium
APT_00047,Apartment_Kathivakkam_N002,N01,N002,KATHIVAKKAM,SIVANPADAI STREET,SIVANPADAI STREET,S_W002_001,13.215513,80.320564,145,445,500,271.41,0,Yes,33.3,0,49.8,Medium
APT_00048,Apartment_Kathivakkam_N002,N01,N002,KATHIVAKKAM,SOUTH LOCK ROAD,SOUTH LOCK ROAD,S_W002_001,13.221687,80.319411,270,814,360,253.3,1,No,27.8,6,100.0,Full
APT_00049,Apartment_Kathivakkam_N002,N01,N002,KATHIVAKKAM,NEHRU NAGAR,NEHRU NAGAR I CROSS ST,S_W002_001,13.212211,80.317875,210,844,120,547.23,4,Yes,28.8,1,100.0,Full
APT_00050,Apartment_Kathivakkam_N002,N01,N002,KATHIVAKKAM,SATHIYA NAGAR,SATHIYA NAGAR,S_W002_001,13.21709,80.319852,238,470,360,232.79,2,Yes,35.8,0,100.0,Full
APT_00051,Apartment_Kathivakkam_N002,N01,N002,KATHIVAKKAM,THILAGAR NAGAR,THILAGAR NAGAR,S_W002_001,13.217048,80.319841,233,469,360,288.97,4,No,27.2,6,100.0,Full
APT_00052,Apartment_Kathivakkam_N002,N01,N002,KATHIVAKKAM,RAILWAY STATION ROAD,KH ROAD,S_W002_001,13.217073,80.320471,74,300,120,96.46,4,Yes,25.0,2,100.0,Full
APT_00053,Apartment_Kathivakkam_N002,N01,N002,KATHIVAKKAM,VALLUVAR NAGAR,VALLUVAR NAGAR,S_W002_001,13.219691,80.319953,122,358,500,145.22,3,No,28.7,1,67.7,Medium
APT_00054,Apartment_Kathivakkam_N002,N01,N002,KATHIVAKKAM,VALLUVAR NAGAR,VALLUVAR NAGAR,S_W002_002,13.219685,80.319937,151,751,500,450.07,4,No,33.2,3,100.0,Full
APT_00055,Apartment_Kathivakkam_N002,N01,N002,KATHIVAKKAM,PERIYAKUPPAM,PERIYAKUPPAM II STREET,S_W002_002,13.21178,80.317548,159,803,1000,469.63,0,Yes,30.3,0,56.0,Medium
APT_00056,Apartment_Kathivakkam_N002,N01,N002,KATHIVAKKAM,RAJIV GANDHI NAGAR,RAJIV GANDHI NAGAR,S_W002_001,13.216513,80.317839,32,106,360,63.47,1,Yes,24.5,2,47.1,Medium
APT_00057,Apartment_Kathivakkam_N002,N01,N002,KATHIVAKKAM,KAVERI NAGAR,KAVERI NAGAR,S_W002_001,13.215141,80.320515,173,685,240,248.1,1,No,32.0,4,100.0,Full
APT_00058,Apartment_Kathivakkam_N002,N01,N002,KATHIVAKKAM,THADAVUKKARA KUPPAM,THADAVUKKARA KUPPAM,S_W002_001,13.217045,80.319796,63,194,660,96.43,4,No,32.8,3,88.8,Full
APT_00059,Apartment_Kathivakkam_N002,N01,N002,KATHIVAKKAM,RAMMOORTHI NAGAR,RAMMOORTHI NAGAR 1st STREET,S_W002_001,13.217011,80.319876,228,684,360,277.59,3,No,31.2,6,100.0,Full
APT_00060,Apartment_Kathivakkam_N002,N01,N002,KATHIVAKKAM,PERIYAKUPPAM,EXPRESS ROAD PERIYAKUPPAM,S_W002_001,13.213541,80.319432,211,846,500,320.05,1,No,26.1,5,97.5,Full
APT_00061,Apartment_Kathivakkam_N002,N01,N002,KATHIVAKKAM,RAILWAY STATION ROAD,RAILWAY STATION I ST,S_W002_001,13.217069,80.319655,279,837,660,383.39,1,No,26.3,4,76.9,Full
APT_00062,Apartment_Kathivakkam_N002,N01,N002,KATHIVAKKAM,VALLUVAR NAGAR,KH ROAD,S_W002_001,13.22075,80.319642,229,466,1000,249.79,4,No,28.9,4,91.9,Full
APT_00063,Apartment_Kathivakkam_N002,N01,N002,KATHIVAKKAM,VALLUVAR NAGAR,KH ROAD,S_W002_002,13.221423,80.319445,123,368,240,168.33,4,No,28.3,4,100.0,Full
APT_00064,Apartment_Kathivakkam_N002,N01,N002,KATHIVAKKAM,NEHRU NAGAR,FOUNDRY I ST,S_W002_001,13.213119,80.319039,291,1457,500,498.58,0,No,25.2,3,100.0,Full
APT_00065,Apartment_Kathivakkam_N002,N01,N002,KATHIVAKKAM,PERIYAKUPPAM,PERIYAKUPPAM I STREET,S_W002_001,13.212202,80.323886,135,409,120,234.36,1,Yes,34.3,0,100.0,Full
APT_00066,Apartment_Kathivakkam_N002,N01,N002,KATHIVAKKAM,NEHRU NAGAR,C.S.I,S_W002_001,13.213486,80.319538,111,334,660,214.13,2,Yes,35.1,1,72.8,Full
APT_00067,Apartment_Kathivakkam_N002,N01,N002,KATHIVAKKAM,NEHRU NAGAR,C.S.I,S_W002_002,13.213517,80.319475,274,1104,120,436.25,1,No,25.7,2,100.0,Full
APT_00068,Apartment_Kathivakkam_N002,N01,N002,KATHIVAKKAM,KAMALAMMAL NAGAR,KAMALAMMAL NAGAR 4th STREET,S_W002_001,13.217058,80.31951,124,242,660,142.71,3,No,30.7,1,64.9,Medium
APT_00069,Apartment_Kathivakkam_N002,N01,N002,KATHIVAKKAM,CHINNAKUPPAM,CHINNAKUPPAM 2nd STREET,S_W002_001,13.206992,80.315377,41,132,240,78.61,3,Yes,29.2,1,93.9,Full
APT_00070,Apartment_Kathivakkam_N002,N01,N002,KATHIVAKKAM,CHINNAKUPPAM,EPRESS ROAD CHINNAKUPPAM,S_W002_001,13.207935,80.315868,151,306,360,108.39,4,No,28.9,5,84.2,Full
APT_00071,Apartment_Kathivakkam_N002,N01,N002,KATHIVAKKAM,SHASTRI NAGAR,SHASTRI NAGAR I ST,S_W002_001,13.207937,80.315891,243,1225,120,651.85,3,No,31.0,6,100.0,Full
APT_00072,Apartment_Kathivakkam_N002,N01,N002,KATHIVAKKAM,NEHRU NAGAR,KH ROAD,S_W002_001,13.211874,80.317602,73,362,660,226.38,4,No,29.5,3,100.0,Full
APT_00073,Apartment_Kathivakkam_N002,N01,N002,KATHIVAKKAM,NEHRU NAGAR,KH ROAD,S_W002_002,13.211848,80.317596,150,750,360,409.46,1,Yes,29.4,3,100.0,Full
APT_00074,Apartment_Kathivakkam_N002,N01,N002,KATHIVAKKAM,NEHRU NAGAR,KH ROAD,S_W002_003,13.210299,80.316767,56,102,500,26.72,1,No,25.7,2,19.7,Empty
APT_00075,Apartment_Kathivakkam_N002,N01,N002,KATHIVAKKAM,NEHRU NAGAR,KH ROAD,S_W002_004,13.21043,80.316779,212,857,360,421.48,1,Yes,32.5,4,100.0,Full
APT_00076,Apartment_Kathivakkam_N002,N01,N002,KATHIVAKKAM,NEHRU NAGAR,NEHRU NAGAR II CROSS ST,S_W002_001,13.212726,80.318525,153,619,120,347.49,4,Yes,31.0,4,100.0,Full
APT_00077,Apartment_Ernavoor_N003,N01,N003,ERNAVOOR,ERNAVOOR,ETPS QUARTERS,S_W003_001,13.195898,80.312207,112,556,500,276.47,3,Yes,24.7,0,100.0,Full
APT_00078,Apartment_Ernavoor_N003,N01,N003,ERNAVOOR,ERNAVOOR,ETPS QUARTERS,S_W003_001,13.195687,80.312217,83,157,660,41.05,1,Yes,28.5,3,35.4,Empty
APT_00079,Apartment_Ernavoor_N003,N01,N003,ERNAVOOR,ERNAVOOR,ETPS QUARTERS,S_W003_001,13.195233,80.312061,178,716,500,213.42,3,No,26.6,2,93.3,Full
APT_00080,Apartment_Ernavoor_N003,N01,N003,ERNAVOOR,NETHAJI NAGAR,NETHAJI NAGAR 1ST STREET,S_W003_001,13.189726,80.31305,208,420,240,239.67,1,Yes,28.7,3,100.0,Full
APT_00081,Apartment_Ennore_N003,N01,N003,ENNORE,ANNAI SIVAGAMI NAGAR,ANNAI SIVAGAMI NAGAR 1ST STREET,S_W003_001,13.200157,80.316116,284,1137,660,506.22,1,No,25.4,3,96.7,Full
APT_00082,Apartment_Ennore_N003,N01,N003,ENNORE,ANNAI SIVAGAMI NAGAR,ANNAI SIVAGAMI NAGAR 2ND STREET,S_W003_001,13.199675,80.315848,142,703,500,445.13,0,Yes,31.3,0,94.6,Full
APT_00083,Apartment_Ernavoor_N003,N01,N003,ERNAVOOR,NETHAJI NAGAR,NETHAJI NAGAR 5TH STREET,S_W003_001,13.188461,80.315047,65,139,240,57.82,4,No,31.0,5,91.9,Full
APT_00084,Apartment_Ernavoor_N003,N01,N003,ERNAVOOR,NETHAJI NAGAR,NETHAJI NAGAR 8TH STREET,S_W003_001,13.18784,80.315038,253,505,120,292.24,1,No,31.1,6,100.0,Full
APT_00085,Apartment_Ernavoor_N003,N01,N003,ERNAVOOR,KASI KOIL KUPPAM,KASI KOIL KUPPAM 1ST STREET,S_W003_001,13.190927,80.316151,196,985,240,260.23,3,No,28.4,0,100.0,Full
APT_00086,Apartment_Ernavoor_N003,N01,N003,ERNAVOOR,KASI KOIL KUPPAM,KASI KOIL KUPPAM 1ST STREET,S_W003_001,13.190932,80.316192,216,440,120,258.02,0,Yes,32.7,5,100.0,Full
APT_00087,Apartment_Ernavoor_N003,N01,N003,ERNAVOOR,KASI KOIL KUPPAM,KASI KOIL KUPPAM 1ST STREET,S_W003_001,13.190967,80.31597,47,189,660,112.19,0,No,34.1,3,30.0,Empty
APT_00088,Apartment_Ernavoor_N003,N01,N003,ERNAVOOR,KASI KOIL KUPPAM,KASI KOIL KUPPAM 1ST STREET,S_W003_001,13.190766,80.317469,107,419,120,165.43,3,No,29.0,5,100.0,Full
APT_00089,Apartment_Ennore_N003,N01,N003,ENNORE,ANNAI SIVAGAMI NAGAR,ANNAI SIVAGAMI NAGAR 8TH STREET,S_W003_001,13.197697,80.315098,235,713,120,266.51,0,No,29.2,1,100.0,Full
APT_00090,Apartment_Ennore_N003,N01,N003,ENNORE,ENNORE,E.T.P.S. CAMPUS,S_W003_001,13.205535,80.317812,253,1269,120,779.12,0,No,34.8,1,100.0,Full
APT_00091,Apartment_Ennore_N003,N01,N003,ENNORE,ENNORE,E.T.P.S. CAMPUS,S_W003_001,13.203794,80.318164,142,718,240,402.86,1,No,31.3,0,100.0,Full
APT_00092,Apartment_Ennore_N003,N01,N003,ENNORE,ENNORE,E.T.P.S. CAMPUS,S_W003_001,13.205561,80.317805,246,740,120,361.99,2,No,30.1,3,100.0,Full
APT_00093,Apartment_Ennore_N003,N01,N003,ENNORE,ENNORE,E.T.P.S. CAMPUS,S_W003_001,13.204173,80.319321,256,521,500,221.18,0,No,32.8,2,44.7,Medium
APT_00094,Apartment_Ennore_N003,N01,N003,ENNORE,ENNORE,E.T.P.S. CAMPUS,S_W003_002,13.205516,80.317783,128,264,120,162.32,0,Yes,27.7,6,100.0,Full
APT_00095,Apartment_Ennore_N003,N01,N003,ENNORE,ENNORE,E.T.P.S. CAMPUS,S_W003_002,13.205271,80.3176,272,538,660,295.3,1,Yes,24.4,3,74.3,Full
APT_00096,Apartment_Ernavoor_N003,N01,N003,ERNAVOOR,ERNAVOOR,ANNAI SIVAGAMI NAGAR 11TH STREET,S_W003_001,13.196428,80.31472,101,498,500,207.53,3,No,32.4,6,89.2,Full
APT_00097,Apartment_Ennore_N003,N01,N003,ENNORE,ANNAI SIVAGAMI NAGAR,ANNAI SIVAGAMI NAGAR 6TH STREET,S_W003_001,13.198144,80.315348,87,341,120,153.0,0,No,31.8,1,100.0,Full
APT_00098,Apartment_Ennore_N003,N01,N003,ENNORE,ENNORE,E.T.P.S 3RD BLOCK,S_W003_001,13.204551,80.3146,211,850,360,245.97,1,No,29.1,0,89.1,Full
APT_00099,Apartment_Ennore_N003,N01,N003,ENNORE,ENNORE,E.T.P.S 3RD BLOCK,S_W003_001,13.204566,80.314619,198,391,120,224.55,0,No,24.6,5,100.0,Full
APT_00100,Apartment_Ennore_N003,N01,N003,ENNORE,ENNORE,E.T.P.S 3RD BLOCK,S_W003_001,13.203501,80.314191,59,294,1000,172.48,1,No,35.3,0,41.8,Medium
APT_00101,Apartment_Ernavoor_N003,N01,N003,ERNAVOOR,KASI VISALATCHI KUPPAM,KASI VISALATCHI KUPPAM,S_W003_001,13.188282,80.315335,253,1018,500,399.32,1,Yes,32.8,5,99.1,Full
APT_00102,Apartment_Ernavoor_N003,N01,N003,ERNAVOOR,KASI VISALATCHI KUPPAM,KASI VISALATCHI KUPPAM,S_W003_001,13.189698,80.313512,76,379,660,141.69,3,No,28.6,3,75.6,Full
APT_00103,Apartment_Ernavoor_N003,N01,N003,ERNAVOOR,KASI VISALATCHI KUPPAM,KASI VISALATCHI KUPPAM,S_W003_001,13.189734,80.313071,246,729,360,255.8,0,Yes,26.4,4,65.5,Medium
APT_00104,Apartment_Ernavoor_N003,N01,N003,ERNAVOOR,KASI VISALATCHI KUPPAM,KASI VISALATCHI KUPPAM,S_W003_001,13.189869,80.311851,22,85,120,27.15,4,No,30.7,1,84.2,Full
APT_00105,Apartment_Ernavoor_N003,N01,N003,ERNAVOOR,NETHAJI NAGAR,NETHAJI NAGAR 3RD STREET,S_W003_001,13.187845,80.315006,243,963,240,605.84,1,Yes,24.3,1,100.0,Full
APT_00106,Apartment_Ernavoor_N003,N01,N003,ERNAVOOR,NETHAJI NAGAR,NETHAJI NAGAR 6TH STREET,S_W003_001,13.188298,80.315318,241,721,360,399.16,4,No,29.5,1,100.0,Full
APT_00107,Apartment_Ernavoor_N003,N01,N003,ERNAVOOR,KASI KOIL KUPPAM,KASI KOIL KUPPAM 2ND STREET,S_W003_001,13.191002,80.313534,239,961,660,406.85,3,Yes,35.9,5,100.0,Full
APT_00108,Apartment_Ennore_N003,N01,N003,ENNORE,ANNAI SIVAGAMI NAGAR,ANNAI SIVAGAMI NAGAR 3RD STREET,S_W003_001,13.199399,80.315795,206,618,360,181.73,1,No,32.9,3,81.6,Full
APT_00109,Apartment_Ennore_N003,N01,N003,ENNORE,ANNAI SIVAGAMI NAGAR,ERNAVOOR KUPPAM,S_W003_001,13.203019,80.318162,152,764,1000,233.61,1,No,35.8,0,51.6,Medium
APT_00110,Apartment_Ernavoor_N003,N01,N003,ERNAVOOR,ERNAVOOR,T.K.P. NAGAR,S_W003_001,13.18976,80.312584,218,864,360,461.3,4,No,28.8,0,100.0,Full
APT_00111,Apartment_Ennore_N003,N01,N003,ENNORE,ANNAI SIVAGAMI NAGAR,ANNAI SIVAGAMI NAGAR 4TH STREET,S_W003_001,13.199104,80.315708,97,393,240,130.17,4,No,25.0,5,100.0,Full
APT_00112,Apartment_Ernavoor_N003,N01,N003,ERNAVOOR,KASI KOIL KUPPAM,KASI KOIL KUPPAM 3RD STREET,S_W003_001,13.190472,80.313448,239,954,360,371.25,3,Yes,35.6,4,100.0,Full
APT_00113,Apartment_Ennore_N003,N01,N003,ENNORE,ANNAI SIVAGAMI NAGAR,ANNAI SIVAGAMI NAGAR 5TH STREET,S_W003_001,13.198165,80.315393,176,524,120,331.59,0,Yes,34.4,2,100.0,Full
APT_00114,Apartment_Ennore_N003,N01,N003,ENNORE,ANNAI SIVAGAMI NAGAR,ANNAI SIVAGAMI NAGAR 7TH STREET,S_W003_001,13.197917,80.315129,148,743,660,358.48,4,No,30.8,2,100.0,Full
APT_00115,Apartment_Ennore_N003,N01,N003,ENNORE,ANNAI SIVAGAMI NAGAR,ANNAI SIVAGAMI NAGAR 7TH STREET,S_W003_001,13.198018,80.315229,162,316,120,181.18,2,No,26.8,5,100.0,Full
APT_00116,Apartment_Ennore_N003,N01,N003,ENNORE,ANNAI SIVAGAMI NAGAR,ANNAI SIVAGAMI NAGAR 9TH STREET,S_W003_001,13.197189,80.314902,179,716,500,208.75,0,Yes,32.9,0,48.2,Medium
APT_00117,Apartment_Ennore_N003,N01,N003,ENNORE,ANNAI SIVAGAMI NAGAR,ANNAI SIVAGAMI NAGAR 9TH STREET,S_W003_001,13.196937,80.314972,30,58,360,22.16,4,No,24.2,6,79.6,Full
APT_00118,Apartment_Ernavoor_N004,N01,N004,ERNAVOOR,THIRUVEEDHI AMMAN KOIL,THIRUVEEDHI AMMAN KOIL STREET,S_W004_001,13.190168,80.307024,59,170,360,103.4,0,No,35.0,5,49.0,Medium
APT_00119,Apartment_Ernavoor_N004,N01,N004,ERNAVOOR,THIRUVEEDHI AMMAN KOIL,THIRUVEEDHI AMMAN KOIL STREET,S_W004_002,13.189318,80.307183,88,361,500,207.28,1,No,32.4,0,62.1,Medium
APT_00120,Apartment_Ernavoor_N004,N01,N004,ERNAVOOR,VASANTHAM NAGAR,BAJANAI KOIL 1ST STREET,S_W004_001,13.191137,80.307787,52,153,660,82.53,0,Yes,26.1,3,22.2,Empty
APT_00121,Apartment_Tiruvottriyur_N004,N01,N004,TIRUVOTTRIYUR,SHANMUGAPURAM,SHANMUGAPURAM EXTENSION 2ND STREET,S_W004_001,13.175732,80.301497,143,705,1000,341.9,2,No,26.0,3,77.9,Full
APT_00122,Apartment_Tiruvottriyur_N004,N01,N004,TIRUVOTTRIYUR,SHANMUGAPURAM,SHANMUGAPURAM EXTENSION 8TH STREET,S_W004_001,13.17573,80.300438,207,827,240,295.72,4,No,24.7,6,100.0,Full
